"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2002-12-29","2003-12-27",2002,382,"Total","Admin0","Year","MOH-COL-2005-Y01-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2004-01-04","2005-01-01",2004,1614,"Total","Admin0","Year","MOH-COL-2005-Y01-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2005-01-02","2005-12-31",2005,1938,"Total","Admin0","Year","MOH-COL-2005-Y01-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2006-01-01","2006-12-30",2006,1667,"Total","Admin0","Year","MOH-COL-2006-Y01-01"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2006-12-31","2007-12-29",2006,3257,"Total","Admin0","Year","MOH-COL-2008-Y01-02"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2006-12-31","2007-01-06",2006,661,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-12-30","2008-12-27",2007,3602,"Total","Admin0","Year","MOH-COL-2008-Y01-02"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-03-04","2007-03-10",2007,611,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-01-14","2007-01-20",2007,490,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-01-07","2007-01-13",2007,440,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-04-22","2007-04-28",2007,775,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-03-11","2007-03-17",2007,623,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-05-06","2007-05-12",2007,922,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-02-18","2007-02-24",2007,621,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-03-18","2007-03-24",2007,629,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-02-04","2007-02-10",2007,727,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-04-08","2007-04-14",2007,731,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-07-01","2007-07-07",2007,1005,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-01-28","2007-02-03",2007,589,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-04-29","2007-05-05",2007,902,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-06-17","2007-06-23",2007,1192,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-07-15","2007-07-21",2007,1213,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-04-01","2007-04-07",2007,589,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-07-22","2007-07-28",2007,1141,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-06-03","2007-06-09",2007,1041,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-06-10","2007-06-16",2007,1017,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-04-15","2007-04-21",2007,800,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-03-25","2007-03-31",2007,629,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-02-25","2007-03-03",2007,657,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-05-27","2007-06-02",2007,1056,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-06-24","2007-06-30",2007,1041,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-05-20","2007-05-26",2007,1005,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-07-29","2007-08-04",2007,967,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
"COLOMBIA",NA,NA,"COLOMBIA","COL",54,"COL",NA,"2007-08-19","2007-08-25",2007,766,"Total","Admin0","Week","MOH-COL-20072022-Y02-00"
